"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"gd-1009577546618","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009577546618","","AI technician","DING XIN INTERNATIONAL VENTURE PTE. LIMITED","Singapore","2024-12-25","","direct_data","monthly",10700.0,11000.0,"SGD",False,"","","organic","","＜About the job＞： We‘re seeking AI/ML enthusiasts with experience and skills in working and are passionate about extending AI/ML expertise. The Data Science \\& AI team of headquarter IT is developing the frontier and practical analytic technologies that enhance the data value. As the AI/ML engineer, you‘ll join the AI/Big Data Analytics program/projects of headquarter IT and assist in building the model/algorithm to empower data\\-driven \\& analytics\\-driven for driving business value from data insights in this world\\-class company (Fortune Global 500, 22nd).


Design, implement, and maintain robust and scalable data pipelines to ingest, transform, and process structured and unstructured data from various sources.


Build and manage data warehouses and data lakes, implementing efficient data storage and retrieval mechanisms. Design data models that support business requirements and analytics use cases.


Leverage cloud platforms (e.g., AWS, Azure, GCP) to design and deploy scalable data infrastructure, optimizing for performance, cost\\-effectiveness, and reliability.


Implement data quality checks, validation processes, and data governance frameworks to ensure data accuracy, integrity, and compliance with security standards.


Continuously monitor and optimize data pipelines and infrastructure to improve processing speed, reduce latency, and enhance overall system performance.


Work collaboratively with data scientists, analysts, and other stakeholders to understand their data needs, provide technical expertise, and deliver solutions that meet business objectives.


Support business users by implementing data presentation layer including data visualisation using tools like Tableau, PowerBI etc.


Stay up\\-to\\-date with emerging technologies and industry trends in the big data and data engineering space, evaluating and implementing innovative solutions to improve data processing capabilities.


Support the definition and optimization of underlying data infrastructure


＜Job Type Option：＞


Type1: AI/ML Engineer (Engineering\\-Oriented) (1\\) Use Machine Learning/Deeping Learning/Analytical techniques to build models for internal different scenarios and requirements. (2\\) Building the model lifecycle from data exploration to feature engineering to model evaluation and validity analysis capabilities. (3\\) Execute efficient, scalable, automated processes for model development, model validation, and model implementation (4\\) Deploy the model to production and maintain/optimize the models by MLOps. (5\\) Experience in Azure Data Lake, Azure Databricks, and Azure Data Factory is preferred. (6\\) Experience in AWS SageMaker is preferred. ．Type2: NLP AI Engineer (1\\) Focused on NLP Algorithm/Machine Learning \\& Deeping Learning for Text. (2\\) Develop the Algorithm of NLP(Natural Language Processing)/ Computational Linguistics/Text Mining/Topic Modeling (3\\) Join the project to build the end\\-to\\-end NLP systems, from understanding the requirements to selecting training datasets to model, evaluate, and deliver/deploy NLP models. (4\\) Fine\\-tune LLMs and optimize and resolve issues related to LLM usage in production scenarios, enhancing reliability, accuracy, and performance. ．Type3: AI/ML Engineer (Analytics\\-Oriented) (1\\)Use Machine Learning/Deeping Learning/Analytical techniques to build models for internal different scenarios and requirements. (2\\)Build the model lifecycle, e.g., from data exploration to feature engineering to model evaluation and validity analysis capabilities. (3\\)Execute efficient, scalable, automated processes for model development, model validation, and model implementation. (4\\)Apply quantitative methods including but not limited to above tasks to solve business problems. (5\\)Being passionate and patient about working with complex data ＜Skills＞ ．Type1 \\& 3 : AI/ML Engineer(Engineering\\-Oriented \\& Analytics\\-Oriented) (1\\)Familiarity with any one of Machine Learning, Statistical Modeling, Deep Learning (Nature Language/Image/Time Series) model/algorithm building of the practical application in the industry. (2\\) Being familiar with Python Libraries, e.g., Numpy, Pandas, Scikit\\-Learn, SciPy, Matplotlib, etc. (3\\)(For Engineering\\-Oriented) Knowledge of Big Data with Machine Learning/Statistical modeling related technologies such as Spark MLlib or PySpark or SparkR/SparklyR. (4\\)(For Analytics\\-Oriented) Knowledge of Deep Learning Framework such as TensorFlow/Caffe/Pytorch/Keras. ．Type 2: NLP AI Engineer (1\\) Experience with text mining algorithms such as word segmentation, POS tagging, named entity recognition...etc. (2\\) Experience in algorithms and libraries of NLP(Natural Language Processing), especially in machine learning techniques applied to NLP, such as Text mining, Text classification, Information Extraction, Keyword Tagging, and content discovery. (3\\) Familiar with one general\\-purpose programming language (e.g., Python, Java, C/C\\+\\+) (4\\) Experience manipulating and integrating unstructured, semi\\-structured, and structured data. (5\\) Excellent knowledge and demonstrable experience using open\\-source NLP packages such as NLTK, Word2Vec, Standford CoreNLP, SpaCy, and Gensim. (6\\) Knowledge of Open source LLMs, such as BERT, BLoom, LLaMA..., etc., and NLP frameworks, like Hugging Face Transformers, PyTorch /JAX


Good knowledge of the big data technology landscape and concepts related to distributed storage/computing


Experience with big data frameworks (e.g. Hadoop, Spark) and distributions (Cloudera, Hortonworks, MapR)


Experience with batch \\& ETL jobs to ingest and process data from multiple data sources


Experience with NoSQL databases (e.g. Cassandra, MongoDB, Neo4J, ElasticSearch)


Experience with querying tools (e.g Hive, Spark SQL, Impala)


Experience with Power BI


Experience or willingness to go in real\\-time stream processing, using solutions such as Kafka, AWS Kinesis, Flume, and/or Spark Streaming


Experience or willingness to learn about DevOps and DataOps principles (e.g Infrastructure as Code, automating different parts of the data pipeline)


High\\-level understanding of Data Science concepts and methodologies (how models are built, trained, and deployed)


You are passionate about technology and continuous learning comes naturally to you.


At least 5 years of experience in **big data, AI, and cloud technologies** , with hands\\-on experience in **cloud platforms (Alibaba Cloud, AWS, Azure, GCP).**

Strong technical expertise in **big data frameworks (e.g., Hadoop, Spark, Flink)** and data analytics.


Proven experience in **pre\\-sales and post\\-sales engagements** , driving customer solutions.


Excellent communication skills and the ability to engage with key stakeholders, including C\\-level executives.


Ability to collaborate within cross\\-functional teams and influence product development.


Strong problem\\-solving skills, innovation, and technical leadership capabilities.


Experience in delivering customized cloud solutions and managing solution implementation risks.


You need to be able to do marketing, business solicitation, socializing and entertainment, and understand the principles and architecture of automobiles.


**What's on Offer**

* Competitive Salary \\& Performance\\-Based Bonuses: Attractive compensation package with the opportunity to earn performance bonuses based on individual and team success.
* Comprehensive Benefits: Health insurance, retirement plans, and other employee wellness benefits.
* Training \\& Development: Access to continuous professional development and training programs, including certifications in cloud technologies and data\\-driven solutions.
* Career Growth: Opportunities for career progression within a globally recognized leader in cloud computing and AI.
* Innovative Environment: Work on cutting\\-edge cloud technologies and high\\-impact projects in big data and AI across industries such as fintech, retail, and telecom.
* Collaborative Work Culture: Be part of a dynamic, innovative team with a focus on cross\\-functional collaboration and technical excellence.","","","","","","","",""
"gd-1009577547284","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009577547284","","AIGC/ Gen AI Architect, Lead","UMILIFE (SINGAPORE) PTE. LTD.","Singapore","2024-12-25","","direct_data","monthly",8000.0,12000.0,"SGD",False,"","","organic","","**Job Overview:**

As an AIGC/ Gen AI engineer, you will be responsible for pushing the boundaries of image \\& video generation technology for online AI applications. You will design and implement advanced image \\& video generation models capable of generating target images with different styles (e.g., in news, gaming applications). Additionally, you will stay abreast of the latest research developments in the image \\& video generative\\-AI technology field to ensure our solutions remain industry\\-leading.  



  

As an AIGC/ Gen AI engineer in Singapore, you will design and implement image \\& video generation models to support the content generation tasks in AI application. Key domains of focus include text to image generation, image to image generation, text to video generation, and image to video generation.  



  

**Responsibilities:**

* Investigate and apply the latest image/video generation models for various AI applications (e.g., gaming and news).
* Design and develop the text to image, image to image, text to video generation methods based on application objectives.
* Fine\\-tune the image and video generation models based on different targets, e.g., to generate images/video in different styles.
* Develop and train other relevant models (e.g., LoRA, ControlNet) to optimize generative content quality.
* Model inference and speed optimization to achieve online application latency requirements.
* Ability to identify the reasons on generated image/video quality issues, and find out possible solutions.
* Leading a team.

**Requirements:**

* Bachelor's degree or above in Computer Science, Artificial Intelligence, Electronic Engineering, Data Science, or related fields.
* A minimum of 5 years of hands\\-on experience with the latest image or video generation models, such as SDXL, SD 3 medium, stable video diffusion, etc.
* Proficiency in deep learning frameworks (e.g., PyTorch, TensorFlow) with experience in building end\\-to\\-end online image/video generation applications (e.g., in chatbots/agents).","","","","","","","",""
"gd-1009577546719","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009577546719","","AI technician","LYJD FRIENDSHIP INTERNATIONAL PTE. LIMITED","Singapore","2024-12-25","","direct_data","monthly",10700.0,11000.0,"SGD",False,"","","organic","","＜About the job＞： We‘re seeking AI/ML enthusiasts with experience and skills in working and are passionate about extending AI/ML expertise. The Data Science \\& AI team of headquarter IT is developing the frontier and practical analytic technologies that enhance the data value. As the AI/ML engineer, you‘ll join the AI/Big Data Analytics program/projects of headquarter IT and assist in building the model/algorithm to empower data\\-driven \\& analytics\\-driven for driving business value from data insights in this world\\-class company (Fortune Global 500, 22nd).


Design, implement, and maintain robust and scalable data pipelines to ingest, transform, and process structured and unstructured data from various sources.


Build and manage data warehouses and data lakes, implementing efficient data storage and retrieval mechanisms. Design data models that support business requirements and analytics use cases.


Leverage cloud platforms (e.g., AWS, Azure, GCP) to design and deploy scalable data infrastructure, optimizing for performance, cost\\-effectiveness, and reliability.


Implement data quality checks, validation processes, and data governance frameworks to ensure data accuracy, integrity, and compliance with security standards.


Continuously monitor and optimize data pipelines and infrastructure to improve processing speed, reduce latency, and enhance overall system performance.


Work collaboratively with data scientists, analysts, and other stakeholders to understand their data needs, provide technical expertise, and deliver solutions that meet business objectives.


Support business users by implementing data presentation layer including data visualisation using tools like Tableau, PowerBI etc.


Stay up\\-to\\-date with emerging technologies and industry trends in the big data and data engineering space, evaluating and implementing innovative solutions to improve data processing capabilities.


Support the definition and optimization of underlying data infrastructure


＜Job Type Option：＞


Type1: AI/ML Engineer (Engineering\\-Oriented) (1\\) Use Machine Learning/Deeping Learning/Analytical techniques to build models for internal different scenarios and requirements. (2\\) Building the model lifecycle from data exploration to feature engineering to model evaluation and validity analysis capabilities. (3\\) Execute efficient, scalable, automated processes for model development, model validation, and model implementation (4\\) Deploy the model to production and maintain/optimize the models by MLOps. (5\\) Experience in Azure Data Lake, Azure Databricks, and Azure Data Factory is preferred. (6\\) Experience in AWS SageMaker is preferred. ．Type2: NLP AI Engineer (1\\) Focused on NLP Algorithm/Machine Learning \\& Deeping Learning for Text. (2\\) Develop the Algorithm of NLP(Natural Language Processing)/ Computational Linguistics/Text Mining/Topic Modeling (3\\) Join the project to build the end\\-to\\-end NLP systems, from understanding the requirements to selecting training datasets to model, evaluate, and deliver/deploy NLP models. (4\\) Fine\\-tune LLMs and optimize and resolve issues related to LLM usage in production scenarios, enhancing reliability, accuracy, and performance. ．Type3: AI/ML Engineer (Analytics\\-Oriented) (1\\)Use Machine Learning/Deeping Learning/Analytical techniques to build models for internal different scenarios and requirements. (2\\)Build the model lifecycle, e.g., from data exploration to feature engineering to model evaluation and validity analysis capabilities. (3\\)Execute efficient, scalable, automated processes for model development, model validation, and model implementation. (4\\)Apply quantitative methods including but not limited to above tasks to solve business problems. (5\\)Being passionate and patient about working with complex data ＜Skills＞ ．Type1 \\& 3 : AI/ML Engineer(Engineering\\-Oriented \\& Analytics\\-Oriented) (1\\)Familiarity with any one of Machine Learning, Statistical Modeling, Deep Learning (Nature Language/Image/Time Series) model/algorithm building of the practical application in the industry. (2\\) Being familiar with Python Libraries, e.g., Numpy, Pandas, Scikit\\-Learn, SciPy, Matplotlib, etc. (3\\)(For Engineering\\-Oriented) Knowledge of Big Data with Machine Learning/Statistical modeling related technologies such as Spark MLlib or PySpark or SparkR/SparklyR. (4\\)(For Analytics\\-Oriented) Knowledge of Deep Learning Framework such as TensorFlow/Caffe/Pytorch/Keras. ．Type 2: NLP AI Engineer (1\\) Experience with text mining algorithms such as word segmentation, POS tagging, named entity recognition...etc. (2\\) Experience in algorithms and libraries of NLP(Natural Language Processing), especially in machine learning techniques applied to NLP, such as Text mining, Text classification, Information Extraction, Keyword Tagging, and content discovery. (3\\) Familiar with one general\\-purpose programming language (e.g., Python, Java, C/C\\+\\+) (4\\) Experience manipulating and integrating unstructured, semi\\-structured, and structured data. (5\\) Excellent knowledge and demonstrable experience using open\\-source NLP packages such as NLTK, Word2Vec, Standford CoreNLP, SpaCy, and Gensim. (6\\) Knowledge of Open source LLMs, such as BERT, BLoom, LLaMA..., etc., and NLP frameworks, like Hugging Face Transformers, PyTorch /JAX


Good knowledge of the big data technology landscape and concepts related to distributed storage/computing


Experience with big data frameworks (e.g. Hadoop, Spark) and distributions (Cloudera, Hortonworks, MapR)


Experience with batch \\& ETL jobs to ingest and process data from multiple data sources


Experience with NoSQL databases (e.g. Cassandra, MongoDB, Neo4J, ElasticSearch)


Experience with querying tools (e.g Hive, Spark SQL, Impala)


Experience with Power BI


Experience or willingness to go in real\\-time stream processing, using solutions such as Kafka, AWS Kinesis, Flume, and/or Spark Streaming


Experience or willingness to learn about DevOps and DataOps principles (e.g Infrastructure as Code, automating different parts of the data pipeline)


High\\-level understanding of Data Science concepts and methodologies (how models are built, trained, and deployed)


You are passionate about technology and continuous learning comes naturally to you.


At least 5 years of experience in **big data, AI, and cloud technologies** , with hands\\-on experience in **cloud platforms (Alibaba Cloud, AWS, Azure, GCP).**

Strong technical expertise in **big data frameworks (e.g., Hadoop, Spark, Flink)** and data analytics.


Proven experience in **pre\\-sales and post\\-sales engagements** , driving customer solutions.


Excellent communication skills and the ability to engage with key stakeholders, including C\\-level executives.


Ability to collaborate within cross\\-functional teams and influence product development.


Strong problem\\-solving skills, innovation, and technical leadership capabilities.


Experience in delivering customized cloud solutions and managing solution implementation risks.


You need to be able to do marketing, business solicitation, socializing and entertainment, and understand the principles and architecture of automobiles.


**What's on Offer**

* Competitive Salary \\& Performance\\-Based Bonuses: Attractive compensation package with the opportunity to earn performance bonuses based on individual and team success.
* Comprehensive Benefits: Health insurance, retirement plans, and other employee wellness benefits.
* Training \\& Development: Access to continuous professional development and training programs, including certifications in cloud technologies and data\\-driven solutions.
* Career Growth: Opportunities for career progression within a globally recognized leader in cloud computing and AI.
* Innovative Environment: Work on cutting\\-edge cloud technologies and high\\-impact projects in big data and AI across industries such as fintech, retail, and telecom.
* Collaborative Work Culture: Be part of a dynamic, innovative team with a focus on cross\\-functional collaboration and technical excellence.","","","","","","","",""
"gd-1009577547612","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009577547612","","AIGC/ Gen AI Architect, Lead","MARINE ONLINE (SINGAPORE) PTE. LTD.","Singapore","2024-12-25","","direct_data","monthly",7000.0,12000.0,"SGD",False,"","","organic","","**Job Overview:**

As an AIGC/ Gen AI architect, you will be responsible for pushing the boundaries of image \\& video generation technology for online AI applications. You will design and implement advanced image \\& video generation models capable of generating target images with different styles (e.g., in news, gaming applications). Additionally, you will stay abreast of the latest research developments in the image \\& video generative\\-AI technology field to ensure our solutions remain industry\\-leading.


As an AIGC/ Gen AI architect in Singapore, you will design and implement image \\& video generation models to support the content generation tasks in AI application. Key domains of focus include text to image generation, image to image generation, text to video generation, and image to video generation.


**Responsibilities:**

* Investigate and apply the latest image/video generation models for various AI applications (e.g., gaming and news).
* Design and develop the text to image, image to image, text to video generation methods based on application objectives.
* Fine\\-tune the image and video generation models based on different targets, e.g., to generate images/video in different styles.
* Develop and train other relevant models (e.g., LoRA, ControlNet) to optimize generative content quality.
* Model inference and speed optimization to achieve online application latency requirements.
* Ability to identify the reasons on generated image/video quality issues, and find out possible solutions.
* Leading a team.

**Requirements:**

* Bachelor’s degree or above in Computer Science, Artificial Intelligence, Electronic Engineering, Data Science, or related fields.
* A minimum of 5 years of hands\\-on experience with the latest image or video generation models, such as SDXL, SD 3 Medium, Stable Video Diffusion, etc.
* Proficiency in deep learning frameworks (e.g., PyTorch, TensorFlow) with experience in building end\\-to\\-end online image/video generation applications (e.g., for chatbots/agents).","","https://www.glassdoor.sg/Overview/W-EI_IE2401644.htm","https://media.glassdoor.com/sql/2401644/marine-online-squareLogo-1617186640364.png","","","","",""
"gd-1009576747183","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009576747183","","Phd Machine Learning Engineer , TikTok Engineering (Singapore) - 2025 Start","TikTok","Singapore","2024-12-24","","","","","","",False,"","","organic","-earlycareers@tiktok.com","Responsibilities
  
TikTok is the leading destination for short\\-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.
  
  

Why Join Us
  
Creation is the core of TikTok's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible. Together, we inspire creativity and enrich life \\- a mission we aim towards achieving every day. To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact\\-for ourselves, our company, and the users we serve. Join us.
  
  

TikTok Engineering are building up an engineering team for core TikTok product in Singapore, to ensure TikTok continues a healthy growth, deliver the best product experience to all of our users, build the most attractive features to help users enjoy their time on TikTok, earn trust in privacy protection, and more.
  
  

We are looking for talented individuals to join us in 2025\\. As a graduate, you will get unparalleled opportunities for you to kickstart your career, pursue bold ideas and explore limitless growth opportunities. Co\\-create a future driven by your inspiration with TikTok.
  
  

Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis \\- we encourage you to apply early.
  
  

**Job Responsibilities:**  

* Build machine learning solutions for TikTok products/platforms.
* Build industry leading recommendation system; develop highly scalable classifiers and tools leveraging machine learning;
* Understand product objectives and machine learning techniques; improve model and recommendation strategy;
* Understand user behavior and apply ML algorithms to optimize content consumption and production experience;
* Work with cross functional teams to grow company's product in important regional markets.


Qualifications
  
Minimum Qualifications
  
* Currently pursuing a PhD in Computer Science, engineering quantitative field
* Solid engineering skills. Proficiency in at least two of: Linux, Hadoop, Hive, Spark, Storm.
* Strong machine learning background. Proficiency or publications in modern machine learning theories and applications such as deep neural nets, transfer/multi\\-task learning, reinforcement learning, time series or graph unsupervised learning.
* Ability to think critically, objectively, rationally. Reason and communicate in result\\-oriented, data\\-driven manner. High autonomy.


Preferred Qualifications
  
* Research experience in one or more of the following fields: applied machine learning, machine learning infrastructure, large\\-scale recommendation system, market\\-facing machine learning product.
* Strong publications record in top conferences or journals (e.g., NeurIPS, ICML, ICLR, CVPR, etc) and journals (e.g., TPAMI, JMLR)
* Track record of high impact research


TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
  
  

For TikTok
  
By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy.
  
  

For TikTok
  
If you have any questions, please reach out to us at apac\\-earlycareers@tiktok.com","","https://www.glassdoor.sg/Overview/W-EI_IE2230881.htm","https://media.glassdoor.com/sql/2230881/tiktok-squarelogo-1539940701771.png","","","","",""
"gd-1009576776395","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009576776395","","Machine Learning Engineer","Hireio, Inc.","Singapore","2024-12-24","","","","","","",False,"","","sponsored","","About the Team


Our Search Team is responsible for building and owning one well\\-known app's search engine, which provides our users the best search experience. On the app's Search Team, you’ll have the opportunity to build a full\\-stack search engine system and combine information retrieval technology with modern machine learning methods from related fields such as NLP, Computer Vision, Multimodal, and Recommender Systems. We embrace a culture of self\\-direction, intellectual curiosity, openness, and problem\\-solving.

### **Responsibilities**

* Optimize the searching quality to provide app's users the best search experience.
* Combine your understanding of product objectives and take full advantage of modern machine learning, NLP, and Multimodal techniques to improve the search ranking algorithms, including query understanding, video understanding, and various levels of result ranking.

### **Qualifications**

* Bachelor degree or above in the field of computer science or a related technical discipline.
* Must have relevant experience in search/recommendation.
* Proficient coding skills and strong algorithm \\& data structure using C\\+\\+/Python/Java.
* Experience in one or more of the following areas: NLP, Ranking, Ads, Search engine, Recommender System, and Machine Learning.
* Effective communication and teamwork skills.


We're committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people


\\#J\\-18808\\-Ljbffr","","https://www.glassdoor.sg/Overview/W-EI_IE2282631.htm","https://media.glassdoor.com/sql/2282631/hireio-squareLogo-1616710586237.png","","","","",""
"gd-1009576869987","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009576869987","","AI engineer","RMR INFORMATION TECHNOLOGY SERVICES PTE. LTD.","Singapore","2024-12-24","","direct_data","monthly",6000.0,8500.0,"SGD",False,"","","organic","","Support the production of scalable and optimised AI/machine learning (ML) models


* Focus on building algorithms for the extraction, transformation and loading of large volumes of real\\-time, unstructured data to deploy AI/ML solutions from theoretical data science models.
* Run experiments to test the performance of deployed models, and identifies and resolves bugs that arise in the process.
* Work in a team setting and apply knowledge in statistics, scripting and programming languages required by the firm.
* Work with the relevant software platforms in which the models are deployed.
* Plan and lead the development of new and advanced data analytic techniques, methodologies and analytical solutions from design, prototyping, and testing.
* Identify and develop core data and AI science components for the delivery of projects, architect specialised database and computing environments, explore and visualise complex data set to provide incremental business value.
* Extract and integrate data from various sources, and create advanced models and algorithms suitable for the business use case.
* Conduct testing on data and AI models, interprets findings from testing, and evaluates model performance for scaling and deployment.
* Work in a team setting and apply proficient in statistics, scripting and programming languages required by the firm.
* Work with relevant software platforms on which the solution is deployed.","","","","","","","",""
"gd-1009576691265","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009576691265","","Assistant Director (AI Capabilities Development)","Ministry of Defence Singapore","Singapore","2024-12-24","","","","","","",False,"","","organic","","You support the operationalisation of Artificial Intelligence (AI) for the Singapore Armed Forces (SAF). On this, you work closely with various stakeholders to develop and establish AI processes and architecture within the SAF. You design training and development programmes, and build and maintain relationships with internal and external partners to establish AI processes and collaborations. Your challenge lies in understanding AI/Machine Learning (ML) and languages like Python, as well as having experience with data structures and algorithms. You need to stay acquainted with the latest AI/ML technologies and have a deep understanding of their application and impact to ensure that the deployment of the corresponding AI expertise architecture is aligned.


You must have a tertiary qualification in quantitative, scientific and technology disciplines such as Mathematics, Statistics, Computer Science, Data Science and Analytics with at least 8 years' relevant digital working experience, preferably in a leadership role. Having deep understanding of AI/ML, such as supervised and unsupervised learning, neural networks and deep learning, as well as hands\\-on experience working with current AI tools like TensorFlow and PyTorch, is required. Being able to multi\\-task and work under stressful environment is advantageous. Possession of strong leadership traits, good planning abilities, and excellent communication skills is essential.","","https://www.glassdoor.sg/Overview/W-EI_IE613276.htm","https://media.glassdoor.com/sql/613276/mindef-singapore-squarelogo-1413935543648.png","","","","",""
"gd-1009577278126","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009577278126","","Snr / Product Engineer - NVEG (Adv Analytics)","Micron","Singapore","2024-12-24","","","","","","",False,"","","organic","_sg@micron.com","**Our vision is to transform how the world uses information to enrich life for all.**


Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing.


JR68419 Snr / Product Engineer \\- NVEG (Adv Analytics)
As a Product Engineer at Micron Technology, Inc., you will be responsible in developing, validating, characterizing, and qualifying new state\\-of\\-the\\-art NAND Flash memory products. In this role, you will be involved in pre\\-silicon conceptual design and preparation work, run simulations, create and maintain design and validation documentation, analyze bench and parametric data as well as to debug \\& resolve yield, quality and reliability failures due to design related issues. You will also refine and develop best known methods and automation for design validation of current and future products.

**Key Responsibilities** **but not limited to:**

* Responsible for in\\-depth data analysis to look for sighting that is detected from NAND reliability testing.
* To work closely with cross functional team to drive for cause, cell mechanism understandings and mitigation plan (device and process) when sightings of cell marginality are noted.
* Look into volume reliability data to probe data correlation to look for signals for cell metrics/kill limit recommendation to guardband intrinsic reliability capability.
* Enable proactive methodology for cell reliability analytic study on both die and wafer level assessment using advanced statistical/regression techniques.
* Develop state\\-of\\-art and advanced algorithms, encompassing advanced models to boost and enhance data\\-mining and pattern recognition for quality and yield improvement.
* Work with Product/Fab/Engineering teams on product issues (yield/qualification/deviations)in problem analysis, data\\-mining and modeling, to provide optimal disposition solution.
* Implement and validate testing solution with minimal yield impact and to track effectiveness of solutions.
* Develop understanding of test flows and product framework and make use of big data to highlight strength and weaknesses in production process and improve quality of material produced with lower cost and faster cycle time.

**Requirements:**

* Bachelor's/Master's in Electrical/Electronic Engineering, Material Engineering, Data Science.
* Strong drive and excellent written and verbal communication skills, including ability to effectively communicate complex technical ideas/concepts.
* Strong analytical and problem\\-solving skills, with the ability to find creative solutions to difficult problems.
* Effective communication skills in written and spoken English.
* Good multitasking skills and ability to set priorities in a fast moving, dynamic environment.
* Self\\-motivation and enthusiasm.

**About Micron Technology, Inc.**


We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life *for all*. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high\\-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.  

  

To learn more, please visit micron.com/careers  

  

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.  

  

To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport\\_sg@micron.com


Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.


Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.","","https://www.glassdoor.sg/Overview/W-EI_IE1648.htm","https://media.glassdoor.com/sql/1648/micron-technology-squareLogo-1728397064479.png","","","","",""
"gd-1009576691266","glassdoor","https://www.glassdoor.sg/job-listing/j?jl=1009576691266","","Data Scientist*","Ministry of Defence Singapore","Singapore","2024-12-24","","","","","","",False,"","","organic","","You will be part of a core team of data scientists that develops high impact data science and Artificial Intelligence (AI) projects and products to enhance MINDEF/SAF's decision\\-making in policy, operations and resource management. On this, you explore cutting\\-edge data science and AI techniques, and translate insights into scalable solutions that drive tangible outcomes. You collaborate with IT and Engineering teams to design, build and deploy your solutions. You also participate in strategic projects to improve MINDEF/SAF's data management and analytics infrastructure. As a keen data advocate, you should be passionate about improving public service through innovative use of data science and AI, and actively share your expertise with the wider community. Whether in a project lead or product developer role, you should possess strong communication and stakeholder management skills, and adapt to dynamic and varied operating environments. As a trusted technology leader, you must adopt best practices by keeping abreast of the latest developments in data science through exchanges across teams and agencies.


You must have a tertiary qualification in Data Science/Analytics, Computer Science, Statistics, Quantitative Social Science, or a related discipline. Relevant training and certifications (e.g. Coursera) may also be considered. You should preferably have at least 2 years' working experience in data science, AI/ML engineering, or related areas. You should also have coding experience in programming languages such as Python and R. Good communication and interpersonal skills are essential, as well as being curious, creative, organised and detail\\-oriented. You should possess knowledge of big data processing frameworks and tools (e.g. Apache Spark, SQL), application development, web programming or visualisation tools (e.g. Qlik, Tableau, PowerBI). You should have hands\\-on experience with cloud platforms (e.g. AWS), with relevant certifications being highly desirable.","","https://www.glassdoor.sg/Overview/W-EI_IE613276.htm","https://media.glassdoor.com/sql/613276/mindef-singapore-squarelogo-1413935543648.png","","","","",""
